pid,first_name,last_name,position,birth_date
8471698,T.J.,Oshie,R,1986-12-23
8471699,Andrew,Cogliano,C,1987-06-14
8471707,James,Neal,L,1987-09-03
8471709,Marc-Edouard,Vlasic,D,1987-03-30
8471724,Kris,Letang,D,1987-04-24
8471729,Kris,Russell,D,1987-05-02
8471734,Jonathan,Quick,G,1986-01-21
8471735,Keith,Yandle,D,1986-09-09
8471774,Alex,Stalock,G,1987-07-28
8471794,Darren,Helm,C,1987-01-21
8471817,Ryan,Reaves,R,1987-01-20
8471873,Anton,Stralman,D,1986-08-01
8471887,Patric,Hornqvist,R,1987-01-01
8472382,Andy,Greene,D,1982-10-30
8473415,Alex,Biega,D,1988-04-04
8473419,Brad,Marchand,L,1988-05-11
8473422,Nick,Foligno,L,1987-10-31
8473446,Erik,Johnson,D,1988-03-21
8473449,Kyle,Okposo,R,1988-04-16
8473453,Trevor,Lewis,C,1987-01-08
8473463,Leo,Komarov,R,1987-01-23
8473473,Milan,Lucic,L,1988-06-07
8473503,James,Reimer,G,1988-03-15
8473504,Cal,Clutterbuck,R,1987-11-18
8473507,Jeff,Petry,D,1987-12-09
8473512,Claude,Giroux,R,1988-01-12
8473533,Jordan,Staal,C,1988-09-10
8473541,Jonathan,Bernier,G,1988-08-07
8473544,Derick,Brassard,C,1987-09-22
8473548,Phil,Kessel,R,1987-10-02
8473563,Nicklas,Backstrom,C,1987-11-23
8473575,Semyon,Varlamov,G,1988-04-27
8473604,Jonathan,Toews,C,1988-04-29
8473618,Mathieu,Perreault,C,1988-01-05
8473986,Alex,Killorn,L,1989-09-14
8473994,Jamie,Benn,L,1989-07-18
8474009,Nick,Bonino,C,1988-04-20
8474013,Ian,Cole,D,1989-02-21
8474027,Justin,Braun,D,1987-02-10
8474031,Kevin,Shattenkirk,D,1989-01-29
8474034,Patrick,Maroon,L,1988-04-23
8474037,James,van Riemsdyk,L,1989-05-04
8474038,Paul,Byron,L,1989-04-27
8474040,Sam,Gagner,C,1989-08-10
8474053,Logan,Couture,C,1989-03-28
8474056,P.K.,Subban,D,1989-05-13
8474062,Riley,Nash,C,1989-05-09
8474066,Thomas,Hickey,D,1989-02-08
8474068,Kyle,Turris,C,1989-08-14
8474089,Brad,Malone,C,1989-05-20
8474090,Brendan,Smith,D,1989-02-08
8474098,Colton,Sceviour,C,1989-04-20
8474102,David,Perron,L,1988-05-28
8474141,Patrick,Kane,R,1988-11-19
8474145,Robert,Bortuzzo,D,1989-03-18
8474149,Evgenii,Dadonov,L,1989-03-12
8474150,Mikael,Backlund,C,1989-03-17
8474151,Ryan,McDonagh,D,1989-06-13
8474157,Max,Pacioretty,L,1988-11-20
8474161,Jakub,Voracek,R,1989-08-15
8474162,Jake,Muzzin,D,1989-02-21
8474166,Alec,Martinez,D,1987-07-26
8474176,Carl,Hagelin,L,1988-08-23
8474189,Lars,Eller,C,1989-05-08
8474190,Wayne,Simmonds,R,1988-08-26
8474207,Nick,Holden,D,1987-05-15
8474218,Jason,Demers,D,1988-06-09
8474291,Jay,Beagle,C,1985-10-16
8474563,Drew,Doughty,D,1989-12-08
8474564,Steven,Stamkos,C,1990-02-07
8474565,Alex,Pietrangelo,D,1990-01-18
8474567,Zach,Bogosian,D,1990-07-15
8474568,Luke,Schenn,D,1989-11-02
8474573,Josh,Bailey,R,1989-10-02
8474574,Tyler,Myers,D,1990-02-01
8474578,Erik,Karlsson,D,1990-05-31
8474584,Michael,Del Zotto,D,1990-06-24
8474586,Jordan,Eberle,R,1990-05-15
8474589,Tyler,Ennis,R,1989-10-06
8474590,John,Carlson,D,1990-01-10
8474593,Jacob,Markstrom,G,1990-01-31
8474596,Jake,Allen,G,1990-08-07
8474600,Roman,Josi,D,1990-06-01
8474602,Justin,Schultz,D,1990-07-06
8474610,Zac,Dalpe,C,1989-11-01
8474612,Travis,Hamonic,D,1990-08-16
8474613,Derek,Stepan,C,1990-06-18
8474618,Marco,Scandella,D,1990-02-23
8474628,Michael,Stone,D,1990-06-07
8474636,Michael,Hutchinson,G,1990-03-02
8474641,Adam,Henrique,C,1990-02-06
8474651,Braden,Holtby,G,1989-09-16
8474667,Harri,Sateri,G,1989-12-29
8474673,TJ,Brodie,D,1990-06-07
8474679,Gustav,Nyquist,R,1989-09-01
8474682,Dustin,Tokarski,G,1989-09-16
8474683,Derek,Grant,C,1990-04-20
8474688,Greg,Pateryn,D,1990-06-20
8474697,Mark,Borowiecki,D,1989-07-12
8474709,Matt,Martin,L,1989-05-08
8474715,Cam,Atkinson,R,1989-06-05
8474716,Jared,Spurgeon,D,1989-11-29
8474722,Luke,Witkowski,D,1990-04-14
8474818,Jordie,Benn,D,1987-07-26
8474849,Antoine,Roussel,L,1989-11-21
8474870,Tyler,Johnson,C,1990-07-29
8474884,Mike,Hoffman,C,1989-11-24
8474889,Martin,Jones,G,1990-01-10
8475098,Tyler,Bozak,C,1986-03-19
8475149,Marcus,Johansson,L,1990-10-06
8475151,Kyle,Palmieri,C,1991-02-01
8475156,Mikko,Koskinen,G,1988-07-18
8475158,Ryan,O'Reilly,C,1991-02-07
8475160,Kyle,Clifford,L,1991-01-13
8475163,Alex,Chiasson,R,1990-10-01
8475164,Jakob,Silfverberg,R,1990-10-13
8475166,John,Tavares,C,1990-09-20
8475167,Victor,Hedman,D,1990-12-18
8475168,Matt,Duchene,C,1991-01-16
8475169,Evander,Kane,L,1991-08-02
8475170,Brayden,Schenn,C,1991-08-22
8475171,Oliver,Ekman-Larsson,D,1991-07-17
8475172,Nazem,Kadri,C,1990-10-06
8475176,Ryan,Ellis,D,1991-01-03
8475177,Calvin,de Haan,D,1991-05-09
8475178,Zack,Kassian,R,1991-01-24
8475179,Dmitry,Kulikov,D,1990-10-29
8475181,Nick,Leddy,D,1991-03-20
8475184,Chris,Kreider,L,1991-04-30
8475186,John,Moore,D,1990-11-19
8475188,Brayden,McNabb,D,1991-01-21
8475191,Reilly,Smith,R,1991-04-01
8475193,Tomas,Tatar,L,1990-12-01
8475197,Tyson,Barrie,D,1991-07-26
8475200,Dmitry,Orlov,D,1991-07-23
8475208,Brian,Dumoulin,D,1991-09-06
8475209,Richard,Panik,R,1991-02-07
8475215,Robin,Lehner,G,1991-07-24
8475218,Mattias,Ekholm,D,1990-05-24
8475220,Marcus,Foligno,L,1991-08-10
8475225,Craig,Smith,C,1989-09-05
8475227,Chris,Wideman,D,1990-01-07
8475231,Casey,Cizikas,C,1991-02-27
8475233,David,Savard,D,1990-10-22
8475234,J-F,Berube,G,1991-07-13
8475235,Nicolas,Deslauriers,L,1991-02-22
8475236,Cody,Eakin,C,1991-05-24
8475246,Kevin,Connauton,D,1990-02-23
8475253,Garrett,Wilson,L,1991-03-16
8475278,Byron,Froese,C,1991-03-12
8475279,Ben,Chiarot,D,1991-05-09
8475287,Erik,Haula,L,1991-03-23
8475311,Darcy,Kuemper,G,1990-05-05
8475314,Anders,Lee,L,1990-07-03
8475324,Nick,Jensen,D,1990-09-21
8475343,Nic,Dowd,C,1990-05-27
8475413,Justin,Dowling,C,1990-10-01
8475455,Brenden,Dillon,D,1990-11-13
8475461,Andrew,Agozzino,L,1991-01-03
8475462,Radko,Gudas,D,1990-06-05
8475622,Carter,Hutton,G,1985-12-19
8475625,Matt,Irwin,D,1987-11-29
8475660,Cam,Talbot,G,1987-07-05
8475683,Sergei,Bobrovsky,G,1988-09-20
8475690,Chris,Tanev,D,1989-12-20
8475692,Mats,Zuccarello,R,1987-09-01
8475714,Calle,Jarnkrok,C,1991-09-25
8475717,Calvin,Pickard,G,1992-04-15
8475718,Justin,Holl,D,1992-01-30
8475722,Jason,Zucker,L,1992-01-16
8475726,Tyler,Toffoli,C,1992-04-24
8475728,Johan,Larsson,L,1992-07-25
8475735,Greg,McKegg,C,1992-06-17
8475744,Evgeny,Kuznetsov,C,1992-05-19
8475745,Charlie,Coyle,C,1992-03-02
8475747,Patrik,Nemeth,D,1992-02-08
8475750,Jon,Merrill,D,1992-02-03
8475752,Tyler,Pitlick,C,1991-11-01
8475753,Justin,Faulk,D,1992-03-20
8475754,Brock,Nelson,C,1991-10-15
8475755,Alexander,Petrovic,D,1992-03-03
8475760,Nick,Bjugstad,C,1992-07-17
8475762,Derek,Forbort,D,1992-03-04
8475763,Kevin,Hayes,R,1992-05-08
8475764,Cam,Fowler,D,1991-12-05
8475765,Vladimir,Tarasenko,R,1991-12-13
8475766,Austin,Watson,L,1992-01-13
8475768,Jaden,Schwartz,L,1992-06-25
8475772,Riley,Sheahan,C,1991-12-07
8475780,Chris,Wagner,R,1991-05-27
8475784,Jeff,Skinner,L,1992-05-16
8475786,Zach,Hyman,L,1992-06-09
8475789,Jack,Campbell,G,1992-01-09
8475790,Erik,Gudbranson,D,1992-01-07
8475791,Taylor,Hall,L,1991-11-14
8475792,Brett,Connolly,R,1992-05-02
8475793,Ryan,Johansen,C,1992-07-31
8475794,Tyler,Seguin,C,1992-01-31
8475795,Dylan,McIlrath,D,1992-04-20
8475796,Mark,Pysyk,D,1992-01-11
8475797,Jarred,Tinordi,D,1992-02-20
8475798,Mikael,Granlund,C,1992-02-26
8475799,Nino,Niederreiter,R,1992-09-08
8475809,Scott,Wedgewood,G,1992-08-14
8475810,Bryan,Rust,R,1992-05-11
8475820,Joonas,Donskoi,R,1992-04-13
8475825,Jani,Hakanpää,D,1992-03-31
8475831,Philipp,Grubauer,G,1991-11-25
8475839,Louis,Domingue,G,1992-03-06
8475842,Sam,Carrick,C,1992-02-04
8475848,Brendan,Gallagher,R,1992-05-06
8475852,Petr,Mrazek,G,1992-02-14
8475855,Jesper,Fast,R,1991-12-02
8475857,Kevin,Gravel,D,1992-03-06
8475883,Frederik,Andersen,G,1989-10-02
8475906,John,Klingberg,D,1992-08-14
8475913,Mark,Stone,R,1992-05-13
8475920,Michael,Houser,G,1992-09-13
8475958,Michael,Sgarbossa,C,1992-07-25
8475968,Alex,Belzile,R,1991-08-31
8476166,Taylor,Fedun,D,1988-06-04
8476234,Keith,Kinkaid,G,1989-07-04
8476278,Colin,Blackwell,C,1993-03-28
8476285,Matthew,Peca,C,1993-04-27
8476288,Ryan,Dzingel,C,1992-03-09
8476292,Ondrej,Palat,L,1991-03-28
8476310,Lukas,Sedlak,C,1993-02-25
8476312,Josh,Manson,D,1991-10-07
8476316,Laurent,Brossoit,G,1993-03-23
8476323,Max,McCormick,L,1992-05-01
8476326,Josh,Archibald,R,1992-10-06
8476329,Travis,Boyd,C,1993-09-14
8476331,Dylan,DeMelo,D,1993-05-01
8476341,Anton,Forsberg,G,1992-11-27
8476343,Garret,Sparks,G,1993-06-28
8476345,Gregory,Hofmann,C,1992-11-13
8476346,Johnny,Gaudreau,L,1993-08-13
8476368,Fredrik,Claesson,D,1992-11-24
8476372,Nick,Seeler,D,1993-06-03
8476374,Sean,Kuraly,C,1993-01-20
8476389,Vincent,Trocheck,C,1993-07-11
8476390,Joseph,Cramarossa,C,1992-10-26
8476391,T.J.,Tynan,C,1992-02-25
8476392,Adam,Lowry,C,1993-03-29
8476393,Nick,Cousins,C,1993-07-20
8476396,Steven,Fogarty,C,1993-04-19
8476399,Blake,Coleman,L,1991-11-28
8476400,Logan,Shaw,R,1992-10-05
8476404,Andy,Andreoff,C,1991-05-17
8476410,Josh,Leivo,L,1993-05-26
8476412,Jordan,Binnington,G,1993-07-11
8476415,Kyle,Rau,C,1992-10-24
8476419,Jean-Gabriel,Pageau,C,1992-11-11
8476422,Mike,Reilly,D,1993-07-13
8476425,Joseph,LaBate,C,1993-04-16
8476428,Rocco,Grimaldi,R,1993-02-08
8476429,Scott,Mayfield,D,1992-10-14
8476432,Boone,Jenner,C,1993-06-15
8476433,Magnus,Hellberg,G,1991-04-04
8476434,John,Gibson,G,1993-07-14
8476436,Dmitrij,Jaskin,R,1993-03-23
8476437,Victor,Rask,C,1993-03-01
8476438,Brandon,Saad,L,1992-10-27
8476439,Brett,Ritchie,R,1993-07-01
8476441,Joel,Edmundson,D,1993-06-28
8476442,Matt,Nieto,L,1992-11-05
8476448,William,Karlsson,C,1993-01-08
8476449,Scott,Harrington,D,1993-03-10
8476453,Nikita,Kucherov,R,1993-06-17
8476454,Ryan,Nugent-Hopkins,C,1993-04-12
8476455,Gabriel,Landeskog,L,1992-11-23
8476456,Jonathan,Huberdeau,L,1993-06-04
8476457,Adam,Larsson,D,1992-11-12
8476458,Ryan,Strome,C,1993-07-11
8476459,Mika,Zibanejad,C,1993-04-18
8476460,Mark,Scheifele,C,1993-03-15
8476461,Sean,Couturier,C,1992-12-07
8476462,Dougie,Hamilton,D,1993-06-17
8476463,Jonas,Brodin,D,1993-07-12
8476466,Sven,Baertschi,L,1992-10-05
8476467,Jamie,Oleksiak,D,1992-12-21
8476468,J.T.,Miller,C,1993-03-14
8476469,Joel,Armia,R,1993-05-31
8476470,Nathan,Beaulieu,D,1992-12-05
8476473,Connor,Murphy,D,1993-03-26
8476474,Stefan,Noesen,R,1993-02-12
8476479,Phillip,Danault,C,1993-02-24
8476480,Vladislav,Namestnikov,C,1992-11-22
8476483,Rickard,Rakell,R,1993-05-05
8476495,Seth,Griffith,C,1993-01-04
8476505,Turner,Elson,C,1992-09-13
8476509,Maxime,Lagace,G,1993-01-12
8476525,Colin,Miller,D,1992-10-29
8476539,Jonathan,Marchessault,C,1990-12-27
8476545,Kurtis,Gabriel,R,1993-04-20
8476624,Barclay,Goodrow,C,1993-02-26
8476779,Brad,Hunt,D,1988-08-24
8476792,Torey,Krug,D,1991-04-12
8476807,Matt,Tennyson,D,1990-04-23
8476822,Luke,Glendening,C,1989-04-28
8476826,Yanni,Gourde,C,1991-12-15
8476850,Ryan,Murray,D,1993-09-27
8476851,Alex,Galchenyuk,C,1994-02-12
8476853,Morgan,Rielly,D,1994-03-09
8476854,Hampus,Lindholm,D,1994-01-20
8476856,Mathew,Dumba,D,1994-07-25
8476858,Phillip,Di Giuseppe,L,1993-10-09
8476867,Brendan,Gaunce,C,1994-03-25
8476869,Brady,Skjei,D,1994-03-26
8476870,Stefan,Matteau,C,1994-02-23
8476871,Tanner,Pearson,L,1992-08-10
8476872,Scott,Laughton,C,1994-05-30
8476873,Mark,Jankowski,L,1994-09-13
8476874,Olli,Määttä,D,1994-08-22
8476875,Mike,Matheson,D,1994-02-27
8476876,Malcolm,Subban,G,1993-12-21
8476878,Zemgus,Girgensons,C,1994-01-05
8476879,Cody,Ceci,D,1993-12-21
8476880,Tom,Wilson,R,1994-03-29
8476881,Tomas,Hertl,C,1993-11-12
8476882,Teuvo,Teravainen,C,1994-09-11
8476883,Andrei,Vasilevskiy,G,1994-07-25
8476884,Derrick,Pouliot,D,1994-01-16
8476885,Jacob,Trouba,D,1994-02-26
8476886,Slater,Koekkoek,D,1994-02-18
8476887,Filip,Forsberg,L,1994-08-13
8476889,Radek,Faksa,C,1994-01-09
8476891,Matt,Grzelcyk,D,1994-01-05
8476892,Colton,Parayko,D,1993-05-12
8476897,Oskar,Sundqvist,C,1994-03-23
8476899,Matt,Murray,G,1994-05-25
8476902,Esa,Lindell,D,1994-05-23
8476903,Jon,Gillies,G,1994-01-22
8476904,Chris,Driedger,G,1994-05-18
8476905,Chandler,Stephenson,C,1994-04-22
8476906,Shayne,Gostisbehere,D,1993-04-20
8476907,Mackenzie,MacEachern,L,1994-03-09
8476913,Devin,Shore,C,1994-07-19
8476914,Joonas,Korpisalo,G,1994-04-28
8476915,Jujhar,Khaira,L,1994-08-13
8476917,Adam,Pelech,D,1994-08-16
8476918,Jimmy,Vesey,L,1993-05-26
8476919,Chris,Tierney,C,1994-07-01
8476921,Jordan,Martinook,L,1992-07-25
8476923,Damon,Severson,D,1994-08-07
8476924,Martin,Frk,R,1993-10-05
8476925,Colton,Sissons,C,1993-11-05
8476927,Teddy,Blueger,C,1994-08-15
8476931,Jake,McCabe,D,1993-10-12
8476932,Anthony,Stolarz,G,1994-01-20
8476934,Brock,McGinn,L,1994-02-02
8476941,Connor,Carrick,D,1994-04-13
8476945,Connor,Hellebuyck,G,1993-05-19
8476948,Charles,Hudon,L,1994-06-23
8476952,Dominic,Toninato,C,1994-03-09
8476958,Jaccob,Slavin,D,1994-05-01
8476960,Andreas,Athanasiou,C,1994-08-06
8476966,Gemel,Smith,C,1994-04-16
8476967,Brett,Kulak,D,1994-01-06
8476975,Cedric,Paquette,C,1993-08-13
8476979,Erik,Gustafsson,D,1992-03-14
8476981,Josh,Anderson,R,1994-05-07
8476982,Danny,O'Regan,C,1994-01-30
8476983,Paul,LaDue,D,1992-09-06
8476988,Matt,Benning,D,1994-05-25
8476989,Petteri,Lindbohm,D,1993-09-23
8476994,Vinnie,Hinostroza,C,1994-04-03
8476999,Linus,Ullmark,G,1993-07-31
8477003,Riley,Barber,R,1994-02-07
8477015,Connor,Brown,R,1994-01-14
8477018,Ben,Hutton,D,1993-04-20
8477021,Alexander,Kerfoot,C,1994-08-11
8477034,Jaycob,Megna,D,1992-12-10
8477035,Matt,Tomkins,G,1994-06-19
8477070,Liam,O'Brien,C,1994-07-29
8477073,Kurtis,MacDermid,L,1994-03-25
8477126,Jayson,Megna,C,1990-02-01
8477149,Scott,Sabourin,R,1992-07-30
8477180,Aaron,Dell,G,1989-05-04
8477202,Andrew,Hammond,G,1988-02-11
8477205,Andrej,Sustr,D,1990-11-29
8477210,Buddy,Robinson,R,1991-09-30
8477215,Danny,DeKeyser,D,1990-03-07
8477220,Nate,Schmidt,D,1991-07-16
8477240,Carter,Rowney,C,1989-05-10
8477244,Chad,Ruhwedel,D,1990-05-07
8477290,Michael,Raffl,L,1988-12-01
8477293,Antti,Raanta,G,1989-05-12
8477320,Anton,Blidh,L,1995-03-14
8477330,Dominik,Kubalik,L,1995-08-21
8477335,Kyle,Burroughs,D,1995-07-12
8477341,Andreas,Johnsson,L,1994-11-21
8477343,Tyler,Lewington,D,1994-12-05
8477346,MacKenzie,Weegar,D,1994-01-07
8477353,Tyler,Motte,C,1995-03-10
8477355,Will,Butcher,D,1995-01-06
8477357,Saku,Maenalanen,R,1994-05-29
8477359,Tucker,Poolman,D,1993-06-08
8477361,Cal,Petersen,G,1994-10-19
8477365,Connor,Clifton,D,1995-04-28
8477369,Carson,Soucy,D,1994-07-27
8477380,Jonny,Brodzinski,C,1993-06-19
8477384,Joshua,Brown,D,1994-01-21
8477392,Hudson,Fasching,R,1995-07-28
8477401,John,Hayden,C,1995-02-14
8477402,Pavel,Buchnevich,L,1995-04-17
8477404,Jake,Guentzel,C,1994-10-06
8477405,Marcus,Hogberg,G,1994-11-25
8477406,Mattias,Janmark,C,1992-12-08
8477407,Anthony,Duclair,L,1995-08-26
8477409,Carter,Verhaeghe,C,1995-08-14
8477416,Oliver,Bjorkstrand,R,1995-04-10
8477419,Mason,Geertsen,L,1995-04-19
8477424,Juuse,Saros,G,1995-04-19
8477425,Miles,Wood,L,1995-09-13
8477426,Nick,Paul,L,1995-03-20
8477429,Andrew,Copp,C,1994-07-08
8477433,Ben,Harpur,D,1995-01-12
8477435,Ryan,Graves,D,1995-05-21
8477444,Andre,Burakovsky,L,1995-02-09
8477446,Michael,McCarron,C,1995-03-07
8477447,Shea,Theodore,D,1995-08-03
8477450,Jason,Dickinson,C,1995-07-04
8477451,Ryan,Hartman,R,1994-09-20
8477454,Adam,Erne,L,1995-04-20
8477456,J.T.,Compher,L,1995-04-08
8477457,Zach,Fucale,G,1995-05-28
8477460,Laurent,Dauphin,C,1995-03-27
8477461,Remi,Elie,L,1995-04-16
8477462,Robert,Hagg,D,1995-02-08
8477463,Steven,Santini,D,1995-03-07
8477464,Nic,Petan,C,1995-03-22
8477465,Tristan,Jarry,G,1995-04-29
8477467,Gustav,Olofsson,D,1994-12-01
8477471,Dillon,Heatherington,D,1995-05-09
8477472,Carl,Dahlstrom,D,1995-01-28
8477473,Justin,Bailey,R,1995-07-01
8477474,Madison,Bowey,D,1995-04-22
8477476,Artturi,Lehkonen,L,1995-07-04
8477478,William,Carrier,L,1994-12-20
8477479,Tyler,Bertuzzi,L,1995-02-24
8477480,Eric,Comrie,G,1995-07-06
8477482,Zachary,Sanford,L,1994-11-09
8477484,Spencer,Martin,G,1995-06-08
8477488,Brett,Pesce,D,1994-11-15
8477492,Nathan,MacKinnon,C,1995-09-01
8477493,Aleksander,Barkov,C,1995-09-02
8477494,Jonathan,Drouin,L,1995-03-28
8477495,Seth,Jones,D,1994-10-03
8477496,Elias,Lindholm,C,1994-12-02
8477497,Sean,Monahan,C,1994-10-12
8477498,Darnell,Nurse,D,1995-02-04
8477499,Rasmus,Ristolainen,D,1994-10-27
8477500,Bo,Horvat,C,1995-04-05
8477501,Valeri,Nichushkin,R,1995-03-04
8477503,Max,Domi,C,1995-03-02
8477504,Josh,Morrissey,D,1995-03-28
8477505,Alexander,Wennberg,C,1994-09-22
8477506,Ryan,Pulock,D,1994-10-06
8477507,Nikita,Zadorov,D,1995-04-16
8477508,Curtis,Lazar,C,1995-02-02
8477511,Anthony,Mantha,R,1994-09-16
8477512,Frederik,Gauthier,C,1995-04-26
8477520,Jean-Sebastien,Dea,C,1994-02-08
8477527,Ross,Johnston,L,1994-02-18
8477541,Dakota,Mermis,D,1994-01-05
8477573,Nathan,Walker,L,1994-02-07
8477631,Brandon,Baddock,L,1995-03-29
8477810,Joel,Hanley,D,1991-06-08
8477831,Pheonix,Copley,G,1992-01-18
8477839,Conor,Sheary,L,1992-06-08
8477845,Trevor,van Riemsdyk,D,1991-07-24
8477846,Ryan,Carpenter,C,1991-01-18
8477851,Jordan,Oesterle,D,1992-06-25
8477887,Patrick,Brown,C,1992-05-29
8477903,Garnet,Hathaway,R,1991-11-23
8477919,Frederick,Gaudreau,C,1993-05-01
8477930,Pierre-Edouard,Bellemare,L,1985-03-06
8477931,Tomas,Nosek,L,1992-09-01
8477932,Aaron,Ekblad,D,1996-02-07
8477933,Sam,Reinhart,C,1995-11-06
8477934,Leon,Draisaitl,C,1995-10-27
8477935,Sam,Bennett,C,1996-06-20
8477936,Michael,Dal Colle,L,1996-06-20
8477938,Haydn,Fleury,D,1996-07-08
8477939,William,Nylander,R,1996-05-01
8477940,Nikolaj,Ehlers,L,1996-02-14
8477941,Nick,Ritchie,L,1995-12-05
8477942,Kevin,Fiala,L,1996-07-22
8477943,Brendan,Perlini,L,1996-04-27
8477944,Jakub,Vrana,L,1996-02-28
8477946,Dylan,Larkin,C,1996-07-30
8477947,Sonny,Milano,L,1996-05-12
8477948,Travis,Sanheim,D,1996-03-29
8477949,Alex,Tuch,R,1996-05-10
8477950,Tony,DeAngelo,D,1995-10-24
8477951,Nick,Schmaltz,C,1996-02-23
8477952,Robby,Fabbri,C,1996-01-22
8477953,Kasperi,Kapanen,R,1996-07-23
8477955,Jared,McCann,L,1996-05-31
8477956,David,Pastrnak,R,1996-05-25
8477960,Adrian,Kempe,R,1996-09-13
8477962,Brendan,Lemieux,L,1996-03-15
8477964,Ivan,Barbashev,L,1995-12-14
8477967,Thatcher,Demko,G,1995-12-08
8477968,Alex,Nedeljkovic,G,1996-01-07
8477969,Marcus,Pettersson,D,1996-05-08
8477970,Vitek,Vanecek,G,1996-01-09
8477971,Andreas,Englund,D,1996-01-21
8477974,Ryan,MacInnis,C,1996-02-14
8477979,Nicolas,Aube-Kubel,R,1996-05-10
8477981,Roland,McKeown,D,1996-01-20
8477986,Brandon,Montour,D,1994-04-11
8477987,Ryan,Donato,C,1996-04-09
8477989,Christian,Dvorak,C,1996-02-02
8477990,Brandon,Halverson,G,1996-03-29
8477992,Jonas,Johansson,G,1995-09-19
8477993,Justin,Kirkland,C,1996-08-02
8477996,Juho,Lammikko,C,1996-01-29
8477998,Warren,Foegele,L,1996-04-01
8478007,Elvis,Merzlikins,G,1994-04-13
8478009,Ilya,Sorokin,G,1995-08-04
8478010,Brayden,Point,C,1996-03-13
8478011,Louie,Belpedio,D,1996-05-14
8478013,Jake,Walman,D,1996-02-20
8478017,Mark,Friedman,D,1995-12-25
8478020,Michael,Amadio,R,1996-05-13
8478021,William,Lagesson,D,1996-02-22
8478024,Ville,Husso,G,1995-02-06
8478028,Fredrik,Olofsson,L,1996-05-27
8478029,Chase,De Leo,L,1995-10-25
8478038,Devon,Toews,D,1994-02-21
8478039,Kaapo,Kahkonen,G,1996-08-16
8478040,Austin,Poganski,R,1996-02-16
8478042,Viktor,Arvidsson,L,1993-04-08
8478043,Sam,Lafferty,C,1995-03-06
8478046,Danton,Heinen,L,1995-07-05
8478047,Michael,Bunting,L,1995-09-17
8478048,Igor,Shesterkin,G,1995-12-30
8478051,Max,Willman,C,1995-02-13
8478055,Gustav,Forsling,D,1996-06-12
8478056,Clark,Bishop,C,1996-03-29
8478057,Dakota,Joshua,C,1996-05-15
8478058,CJ,Suess,L,1994-03-17
8478062,Dysin,Mayo,D,1996-08-17
8478067,Oskar,Lindblom,L,1996-08-15
8478074,Anthony,Angello,C,1996-03-06
8478075,Anders,Bjork,L,1996-08-05
8478078,Rourke,Chartier,C,1996-04-03
8478099,Kevin,Labanc,R,1995-12-12
8478104,Sammy,Blais,L,1996-06-17
8478106,Dylan,Sikura,R,1995-06-01
8478109,Victor,Olofsson,L,1995-07-18
8478115,Pierre,Engvall,L,1996-05-31
8478131,Ondrej,Kase,R,1995-11-08
8478133,Jake,Evans,C,1996-06-02
8478136,Jake,Middleton,D,1996-01-02
8478146,Matthew,Highmore,C,1996-02-27
8478147,Bokondji,Imama,L,1996-08-03
8478173,Hayden,Hodgson,R,1996-03-02
8478178,Darren,Raddysh,D,1996-02-28
8478211,Dryden,Hunt,L,1995-11-24
8478224,Luke,Philp,C,1995-11-06
8478233,Andrew,Mangiapane,L,1996-04-04
8478250,Vladimir,Tkachev,L,1995-10-05
8478366,Frank,Vatrano,R,1994-03-14
